Episode,Rollout,Batch,A1,R1O1,R1O2,A2,R2O1,R2O2
49,0,0,1,1,3,2,1,3
49,0,1,1,1,3,2,1,3
49,0,2,2,0,4,2,0,4
49,0,3,2,0,4,2,0,4
49,0,4,1,1,3,2,1,3
49,0,5,1,1,3,2,1,3
49,0,6,1,1,3,2,1,3
49,0,7,1,1,3,2,1,3
49,0,8,2,0,4,2,0,4
49,0,9,2,1,3,1,1,3
49,0,10,2,1,3,1,1,3
49,0,11,1,1,3,2,1,3
49,0,12,2,0,4,2,0,4
49,0,13,2,1,3,1,1,3
49,0,14,2,0,4,2,0,4
49,0,15,1,1,3,2,1,3
49,0,16,2,0,4,2,0,4
49,0,17,2,2,2,0,2,2
49,0,18,2,1,3,1,1,3
49,0,19,1,1,3,2,1,3
49,0,20,1,1,3,2,1,3
49,0,21,1,1,3,2,1,3
49,0,22,1,2,2,1,2,2
49,0,23,1,2,2,1,2,2
49,0,24,2,0,4,2,0,4
49,0,25,1,1,3,2,1,3
49,0,26,1,1,3,2,1,3
49,0,27,1,2,2,1,2,2
49,0,28,1,1,3,2,1,3
49,0,29,1,1,3,2,1,3
49,0,30,2,1,3,1,1,3
49,0,31,0,3,1,1,3,1
49,0,32,2,2,2,0,2,2
49,0,33,2,0,4,2,0,4
49,0,34,2,2,2,0,2,2
49,0,35,1,2,2,1,2,2
49,0,36,1,1,3,2,1,3
49,0,37,1,2,2,1,2,2
49,0,38,2,0,4,2,0,4
49,0,39,2,1,3,1,1,3
49,0,40,0,2,2,2,2,2
49,0,41,2,0,4,2,0,4
49,0,42,0,2,2,2,2,2
49,0,43,2,1,3,1,1,3
49,0,44,0,2,2,2,2,2
49,0,45,2,0,4,2,0,4
49,0,46,1,1,3,2,1,3
49,0,47,2,1,3,1,1,3
49,0,48,1,1,3,2,1,3
49,0,49,1,2,2,1,2,2
49,0,50,1,1,3,2,1,3
49,0,51,2,0,4,2,0,4
49,0,52,2,0,4,2,0,4
49,0,53,1,1,3,2,1,3
49,0,54,1,2,2,1,2,2
49,0,55,1,1,3,2,1,3
49,0,56,1,1,3,2,1,3
49,0,57,2,0,4,2,0,4
49,0,58,1,1,3,2,1,3
49,0,59,1,2,2,1,2,2
49,0,60,1,2,2,1,2,2
49,0,61,2,0,4,2,0,4
49,0,62,0,2,2,2,2,2
49,0,63,2,1,3,1,1,3
49,1,0,1,3,1,0,3,1
49,1,1,1,1,3,2,1,3
49,1,2,2,1,3,1,1,3
49,1,3,1,2,2,1,2,2
49,1,4,0,3,1,1,3,1
49,1,5,2,0,4,2,0,4
49,1,6,1,2,2,1,2,2
49,1,7,1,1,3,2,1,3
49,1,8,1,2,2,1,2,2
49,1,9,2,0,4,2,0,4
49,1,10,2,0,4,2,0,4
49,1,11,1,3,1,0,3,1
49,1,12,2,1,3,1,1,3
49,1,13,0,2,2,2,2,2
49,1,14,1,3,1,0,3,1
49,1,15,2,0,4,2,0,4
49,1,16,1,3,1,0,3,1
49,1,17,2,1,3,1,1,3
49,1,18,2,1,3,1,1,3
49,1,19,1,1,3,2,1,3
49,1,20,2,0,4,2,0,4
49,1,21,2,1,3,1,1,3
49,1,22,2,0,4,2,0,4
49,1,23,1,1,3,2,1,3
49,1,24,1,3,1,0,3,1
49,1,25,1,1,3,2,1,3
49,1,26,1,1,3,2,1,3
49,1,27,1,3,1,0,3,1
49,1,28,2,1,3,1,1,3
49,1,29,1,1,3,2,1,3
49,1,30,2,0,4,2,0,4
49,1,31,1,1,3,2,1,3
49,1,32,1,1,3,2,1,3
49,1,33,1,1,3,2,1,3
49,1,34,2,2,2,0,2,2
49,1,35,1,2,2,1,2,2
49,1,36,2,1,3,1,1,3
49,1,37,2,2,2,0,2,2
49,1,38,1,1,3,2,1,3
49,1,39,2,0,4,2,0,4
49,1,40,2,1,3,1,1,3
49,1,41,1,1,3,2,1,3
49,1,42,1,2,2,1,2,2
49,1,43,1,2,2,1,2,2
49,1,44,1,3,1,0,3,1
49,1,45,1,1,3,2,1,3
49,1,46,2,1,3,1,1,3
49,1,47,1,1,3,2,1,3
49,1,48,1,2,2,1,2,2
49,1,49,1,2,2,1,2,2
49,1,50,2,0,4,2,0,4
49,1,51,2,1,3,1,1,3
49,1,52,2,1,3,1,1,3
49,1,53,1,3,1,0,3,1
49,1,54,1,1,3,2,1,3
49,1,55,2,1,3,1,1,3
49,1,56,2,0,4,2,0,4
49,1,57,1,1,3,2,1,3
49,1,58,0,2,2,2,2,2
49,1,59,0,3,1,1,3,1
49,1,60,0,2,2,2,2,2
49,1,61,1,2,2,1,2,2
49,1,62,2,1,3,1,1,3
49,1,63,1,1,3,2,1,3
49,2,0,2,0,4,2,0,4
49,2,1,1,1,3,2,1,3
49,2,2,2,0,4,2,0,4
49,2,3,1,2,2,1,2,2
49,2,4,1,1,3,2,1,3
49,2,5,1,1,3,2,1,3
49,2,6,2,0,4,2,0,4
49,2,7,1,1,3,2,1,3
49,2,8,2,1,3,1,1,3
49,2,9,1,1,3,2,1,3
49,2,10,0,2,2,2,2,2
49,2,11,2,1,3,1,1,3
49,2,12,1,2,2,1,2,2
49,2,13,2,1,3,1,1,3
49,2,14,2,0,4,2,0,4
49,2,15,2,0,4,2,0,4
49,2,16,2,1,3,1,1,3
49,2,17,2,0,4,2,0,4
49,2,18,0,3,1,1,3,1
49,2,19,1,1,3,2,1,3
49,2,20,1,1,3,2,1,3
49,2,21,2,1,3,1,1,3
49,2,22,1,1,3,2,1,3
49,2,23,0,3,1,1,3,1
49,2,24,1,2,2,1,2,2
49,2,25,2,0,4,2,0,4
49,2,26,2,2,2,0,2,2
49,2,27,2,1,3,1,1,3
49,2,28,1,1,3,2,1,3
